type,name,website,research_status,notes
Brokerage,Zerodha,https://zerodha.com,Partially Completed,"Confirmed via direct fetch of support.zerodha.com: ticket-based help center only, NO live chat/chatbot, phone support Mon-Fri 8:30am-5pm, English-only. Strong account-opening category structure. Kite app UX and in-portal search not hands-on tested - Not verified."
Brokerage,Angel One,https://www.angelone.in,Partially Completed,"AI chatbot in-app confirmed, plus ARQ ML-based stock/MF advisory engine. Hindi-translated knowledge-base articles confirmed (partial language support); Tamil not confirmed. Account opening flow and human handoff not verified hands-on."
Brokerage,Groww,https://groww.in,Partially Completed,24/7 phone + website/app chat confirmed. Help Center is categorized and searchable (Stocks/MF/US Stocks/Gold/FD). Notable: Groww has a public MCP integration letting AI assistants query a user's portfolio - worth a closer look as a reference design. Language support and account-opening UX not verified.
Brokerage,Upstox,https://upstox.com,Partially Completed,"Best-documented AI support of the 5 brokers: 24/7 AI chatbot, Azure OpenAI 'Trading Copilot', and a Haptik-built WhatsApp bot that explicitly handles account activation and IPO applications. Mobile app UX and language support not verified hands-on."
Brokerage,ICICI Direct,https://www.icicidirect.com,Partially Completed,"WhatsApp chatbot (24/7) confirmed to deliver portfolio updates, research recommendations, and order status directly in-chat - stronger than pure FAQ deflection. There's also a separate 'chat.icicidirect.com' Moderated Chat whose purpose is unclear - needs follow-up. Account-opening assistance and language support not verified."
AI Platform,Botpress,https://botpress.com,Partially Completed,"Native multilingual support and RAG/knowledge-base grounding well documented. This is a bot-building platform (not a finance product), so finance-specific capabilities would need custom configuration - scored accordingly in the matrix."
AI Platform,ManyChat,https://manychat.com,Completed,Directly confirmed limitation: multi-language support requires manually building separate flows per language - no auto-detection/translation. AI add-on described by reviewers as closer to keyword-matching than real conversational AI. Lead capture is its clear strength.
AI Platform,Intercom / Fin,https://www.intercom.com,Partially Completed,Fin AI Agent confirmed to resolve ~76% of conversations grounded in the company's own help docs; 45-language native support and full-context human handoff both confirmed. Outcome-based pricing ($0.99/resolution). Citations display and lead-capture features not directly confirmed this pass.
AI Platform,Drift,https://www.salesloft.com/platform/drift,Completed,"FLAG: Drift is being sunset - Salesloft/Clari announced this March 6, 2026, naming '1mind' as the successor for existing customers. Page still live as of May 2026 with no firm end-of-life date. Recommend treating as lower priority for ongoing competitive tracking given this status."
AI Platform,Freshchat / Freddy AI,https://www.freshworks.com,Partially Completed,"Standout finding: 60+ languages with live translation, the strongest multilingual capability of all 10 entries researched (brokerages included). Freddy AI Agent claims up to 80% autonomous resolution (vendor-reported, treat with some skepticism). Generic CX platform, not finance-specific."